feature,featureNames,comment
feature1,altitude_AGL,Altitude above ground level (m)
feature2,azimuth,Azimuth (true north)
feature3,speed,Speed (m/s)
feature4,NA,
feature5,NA,
feature6,rotationFreq,Rotation frequency in relation to sampling frequency
feature7,NA,
feature8,NA,
feature9,NA,
feature10,NA,
feature11,NA,
feature12,NA,
feature13,freqRatio,Frequency Ratio
feature14,maxLevel,Maximum level
feature15,polRatio,Polarisation ratio
feature16,absPolarisation,Absolute polarisation
feature17,rcs,Radar cross section (m^2)
feature18,sqrt(RCS),Square root of radar cross section (m)
feature19,durationOfEcho,Duration of echo (seconds)
feature20,durationOfEchoInSTC,Duration of echo in STC
feature21,NA,
feature22,NA,
feature23,NA,
feature24,alpha,Alpha: |AlphaEnd – AlphaStart|
feature25,theta,Theta: 2·EpsilonCalc
feature26,NA,
feature27,NA,
feature28,NA,
feature29,NA,
feature30,altitudeLeftSideOfEcho,Altitude left side of echo (m)
feature31,altitudeRightSideOfEcho,Altitude right side of echo (m)
feature32,NA,
feature33,distLeftToBottom,Distance between left side and bottom of echo (samples)
feature34,nSamplesInEcho,Length of echo (samples)
feature35,areaOfEcho,Area of echo (seconds multiplied by meter)
feature36,NA,
feature37,NA,
feature38,NA,
feature39,NA,
feature40,NA,
feature41,NA,
feature42,NA,
feature43,NA,
feature44,NA,
feature45,NA,
feature46,NA,
feature47,NA,
feature48,NA,
feature49,NA,
feature50,NA,
